user_id,movie_id,rating,booked,watched,pref_genres,pref_langs,age_group,pref_show_time
1,22,5.3,0,0,Biography|Comedy,Kannada|Telugu|Hindi,36–50,Night (8PM–12AM)
1,57,7.3,1,1,Biography|Comedy,Kannada|Telugu|Hindi,36–50,Night (8PM–12AM)
1,41,4.6,0,0,Biography|Comedy,Kannada|Telugu|Hindi,36–50,Night (8PM–12AM)
1,34,8.5,1,0,Biography|Comedy,Kannada|Telugu|Hindi,36–50,Night (8PM–12AM)
1,11,7.8,1,1,Biography|Comedy,Kannada|Telugu|Hindi,36–50,Night (8PM–12AM)
1,6,8.0,1,1,Biography|Comedy,Kannada|Telugu|Hindi,36–50,Night (8PM–12AM)
1,53,6.6,1,1,Biography|Comedy,Kannada|Telugu|Hindi,36–50,Night (8PM–12AM)
1,39,9.1,1,1,Biography|Comedy,Kannada|Telugu|Hindi,36–50,Night (8PM–12AM)
1,2,7.2,1,1,Biography|Comedy,Kannada|Telugu|Hindi,36–50,Night (8PM–12AM)
1,58,6.1,1,0,Biography|Comedy,Kannada|Telugu|Hindi,36–50,Night (8PM–12AM)
1,52,8.0,1,1,Biography|Comedy,Kannada|Telugu|Hindi,36–50,Night (8PM–12AM)
1,13,6.0,1,1,Biography|Comedy,Kannada|Telugu|Hindi,36–50,Night (8PM–12AM)
1,16,8.3,1,1,Biography|Comedy,Kannada|Telugu|Hindi,36–50,Night (8PM–12AM)
1,30,5.2,1,1,Biography|Comedy,Kannada|Telugu|Hindi,36–50,Night (8PM–12AM)
1,27,7.3,1,1,Biography|Comedy,Kannada|Telugu|Hindi,36–50,Night (8PM–12AM)
1,35,8.3,1,1,Biography|Comedy,Kannada|Telugu|Hindi,36–50,Night (8PM–12AM)
1,19,7.9,1,0,Biography|Comedy,Kannada|Telugu|Hindi,36–50,Night (8PM–12AM)
1,23,7.4,1,1,Biography|Comedy,Kannada|Telugu|Hindi,36–50,Night (8PM–12AM)
1,29,7.1,1,1,Biography|Comedy,Kannada|Telugu|Hindi,36–50,Night (8PM–12AM)
1,50,6.9,1,1,Biography|Comedy,Kannada|Telugu|Hindi,36–50,Night (8PM–12AM)
1,15,5.7,1,1,Biography|Comedy,Kannada|Telugu|Hindi,36–50,Night (8PM–12AM)
1,31,5.1,0,0,Biography|Comedy,Kannada|Telugu|Hindi,36–50,Night (8PM–12AM)
2,51,7.8,1,1,Sci-Fi|Comedy,Hindi|Telugu|Marathi,36–50,Morning (9AM–12PM)
2,21,7.1,1,1,Sci-Fi|Comedy,Hindi|Telugu|Marathi,36–50,Morning (9AM–12PM)
2,16,8.8,1,1,Sci-Fi|Comedy,Hindi|Telugu|Marathi,36–50,Morning (9AM–12PM)
2,31,8.0,1,0,Sci-Fi|Comedy,Hindi|Telugu|Marathi,36–50,Morning (9AM–12PM)
2,9,7.0,1,1,Sci-Fi|Comedy,Hindi|Telugu|Marathi,36–50,Morning (9AM–12PM)
2,49,6.6,1,1,Sci-Fi|Comedy,Hindi|Telugu|Marathi,36–50,Morning (9AM–12PM)
2,6,7.1,1,0,Sci-Fi|Comedy,Hindi|Telugu|Marathi,36–50,Morning (9AM–12PM)
2,59,7.3,1,0,Sci-Fi|Comedy,Hindi|Telugu|Marathi,36–50,Morning (9AM–12PM)
2,44,5.8,0,0,Sci-Fi|Comedy,Hindi|Telugu|Marathi,36–50,Morning (9AM–12PM)
2,11,7.9,1,1,Sci-Fi|Comedy,Hindi|Telugu|Marathi,36–50,Morning (9AM–12PM)
2,1,7.4,1,1,Sci-Fi|Comedy,Hindi|Telugu|Marathi,36–50,Morning (9AM–12PM)
3,35,6.3,1,1,Comedy|Horror|Mystery|Animation,Tamil,26–35,Night (8PM–12AM)
3,55,5.0,0,0,Comedy|Horror|Mystery|Animation,Tamil,26–35,Night (8PM–12AM)
3,27,6.7,1,0,Comedy|Horror|Mystery|Animation,Tamil,26–35,Night (8PM–12AM)
3,7,8.1,1,0,Comedy|Horror|Mystery|Animation,Tamil,26–35,Night (8PM–12AM)
3,42,6.4,0,0,Comedy|Horror|Mystery|Animation,Tamil,26–35,Night (8PM–12AM)
3,46,6.7,1,1,Comedy|Horror|Mystery|Animation,Tamil,26–35,Night (8PM–12AM)
3,31,6.6,0,0,Comedy|Horror|Mystery|Animation,Tamil,26–35,Night (8PM–12AM)
3,47,7.3,1,0,Comedy|Horror|Mystery|Animation,Tamil,26–35,Night (8PM–12AM)
3,30,8.2,1,0,Comedy|Horror|Mystery|Animation,Tamil,26–35,Night (8PM–12AM)
3,25,6.5,1,1,Comedy|Horror|Mystery|Animation,Tamil,26–35,Night (8PM–12AM)
3,3,6.9,1,0,Comedy|Horror|Mystery|Animation,Tamil,26–35,Night (8PM–12AM)
3,18,6.8,1,1,Comedy|Horror|Mystery|Animation,Tamil,26–35,Night (8PM–12AM)
3,28,4.2,0,0,Comedy|Horror|Mystery|Animation,Tamil,26–35,Night (8PM–12AM)
3,57,4.9,0,0,Comedy|Horror|Mystery|Animation,Tamil,26–35,Night (8PM–12AM)
3,15,6.3,0,0,Comedy|Horror|Mystery|Animation,Tamil,26–35,Night (8PM–12AM)
3,22,7.2,1,1,Comedy|Horror|Mystery|Animation,Tamil,26–35,Night (8PM–12AM)
3,48,7.0,1,0,Comedy|Horror|Mystery|Animation,Tamil,26–35,Night (8PM–12AM)
3,13,5.8,1,0,Comedy|Horror|Mystery|Animation,Tamil,26–35,Night (8PM–12AM)
3,6,6.8,1,1,Comedy|Horror|Mystery|Animation,Tamil,26–35,Night (8PM–12AM)
4,10,6.4,0,0,Fantasy|Drama|Thriller|Biography,Tamil|Hindi,Under 18,Night (8PM–12AM)
4,24,6.0,0,0,Fantasy|Drama|Thriller|Biography,Tamil|Hindi,Under 18,Night (8PM–12AM)
4,57,8.7,1,1,Fantasy|Drama|Thriller|Biography,Tamil|Hindi,Under 18,Night (8PM–12AM)
4,22,6.1,1,1,Fantasy|Drama|Thriller|Biography,Tamil|Hindi,Under 18,Night (8PM–12AM)
4,37,6.4,1,1,Fantasy|Drama|Thriller|Biography,Tamil|Hindi,Under 18,Night (8PM–12AM)
